giorno,mese,anno,stagione,data,area_ha,non_veg,coltivi,prati,oliveti,pinete,latifoglie,castagneti,arbusti,altro,provincia,comune
3,1,1997,1,1997-01-03,2.4664,0,0,0,0,0,0,1.6,0.96,0,IMPERIA,COSIO DI ARROSCIA
9,1,1997,1,1997-01-09,3.3408,0,0,0,0,0.12,0,0,3.08,0,IMPERIA,VENTIMIGLIA
12,1,1997,1,1997-01-12,3.14875,0,0.2,0,1.68,0,0,0,1.2,0,IMPERIA,DOLCEDO
13,1,1997,1,1997-01-13,4.57335,0,0,0,0,0,0.16,4.44,0,0,GENOVA,DAVAGNA
13,1,1997,1,1997-01-13,1.2047,0,0,0,0,0,0,1.2,0,0,GENOVA,GENOVA
14,1,1997,1,1997-01-14,78.6143,0,0.12,0,0,0,14.12,7.48,56.64,0,IMPERIA,TAGGIA
14,1,1997,1,1997-01-14,1.0612,0,0,0,0,0,0,1.04,0.04,0,IMPERIA,PRELA'
14,1,1997,1,1997-01-14,0.204,0,0,0,0,0,0.16,0,0,0,IMPERIA,PONTEDASSIO
14,1,1997,1,1997-01-14,3.00625,0,0,0,0,0,2.68,0,0.44,0,IMPERIA,PONTEDASSIO
15,1,1997,1,1997-01-15,1.07915,0,0,0,0,0,0,0,1,0,IMPERIA,PRELA'
15,1,1997,1,1997-01-15,46.9952,0,0,27.24,0,0,19.56,0.12,0.08,0,IMPERIA,PRELA'
15,1,1997,1,1997-01-15,0.7239,0,0,0,0,0,0.4,0.32,0,0,LA SPEZIA,MAISSANA
15,1,1997,1,1997-01-15,0.19595,0,0,0,0,0,0.2,0,0,0,LA SPEZIA,MAISSANA
15,1,1997,1,1997-01-15,0.99585,0,0,0,0,0,0.76,0,0.32,0,GENOVA,RAPALLO
15,1,1997,1,1997-01-15,1.7385,0,0,0,0,0,0,1.16,0.68,0,GENOVA,SANT'OLCESE
18,1,1997,1,1997-01-18,0.15175,0,0,0,0,0,0,0,0.16,0,IMPERIA,SANREMO
23,1,1997,1,1997-01-23,25.6397,0,0,0,0,0,14.44,0,11.24,0,IMPERIA,CASTELLARO
23,1,1997,1,1997-01-23,3.99205,0,0,0,0.68,0,3.2,0,0,0,IMPERIA,DOLCEDO
23,1,1997,1,1997-01-23,0.50235,0,0,0,0,0,0.48,0,0,0,IMPERIA,CESIO
24,1,1997,1,1997-01-24,2.33855,0,0,0,0,1,0,0,1.32,0,SAVONA,ANDORA
25,1,1997,1,1997-01-25,8.3701,0,0,0,2.28,0,5.24,0,0.84,0,IMPERIA,VASIA
25,1,1997,1,1997-01-25,0.57315,0,0,0,0,0,0.64,0,0,0,IMPERIA,CESIO
25,1,1997,1,1997-01-25,1.18015,0,0,0,0,0,1.04,0,0,0,IMPERIA,CESIO
26,1,1997,1,1997-01-26,1.3319,0,0,0,0,0,1.24,0,0,0,IMPERIA,CESIO
26,1,1997,1,1997-01-26,3.6656,0,0,0,0,0,0.04,3.6,0,0,IMPERIA,PIEVE DI TECO
26,1,1997,1,1997-01-26,0.6436,0,0,0,0,0,0.64,0,0,0,GENOVA,DAVAGNA
26,1,1997,1,1997-01-26,2.76475,0,0,2.16,0,0,0,0,0.56,0,GENOVA,TORRIGLIA
27,1,1997,1,1997-01-27,0.8834,0,0,0,0,0,0,0,0.88,0,GENOVA,GENOVA
27,1,1997,1,1997-01-27,0.62225,0,0,0,0,0,0,0.6,0,0,GENOVA,DAVAGNA
28,1,1997,1,1997-01-28,0.54145,0,0,0,0,0,0,0,0.04,0.56,GENOVA,VALBREVENNA
29,1,1997,1,1997-01-29,0.68325,0,0,0,0,0,0,0.6,0,0,LA SPEZIA,BOLANO
29,1,1997,1,1997-01-29,1.96975,0,0,1.6,0,0,0,0,0.4,0,GENOVA,LORSICA
29,1,1997,1,1997-01-29,0.9011,0,0,0,0.32,0,0.56,0,0,0,GENOVA,GENOVA
30,1,1997,1,1997-01-30,1.4833,0,0,0.36,0,0,1.24,0,0,0,GENOVA,SORI
31,1,1997,1,1997-01-31,1.7544,0,0,0.12,0,0,0.92,0,0.72,0,GENOVA,RAPALLO
31,1,1997,1,1997-01-31,1.20815,0,0,0,0,0,1.16,0,0,0,GENOVA,GENOVA
1,2,1997,1,1997-02-01,1.90285,0,0,0,0,0,1.8,0,0,0,GENOVA,GENOVA
1,2,1997,1,1997-02-01,0.60445,0,0.6,0,0,0,0,0,0,0,GENOVA,GENOVA
2,2,1997,1,1997-02-02,0.18995,0.16,0,0,0.04,0,0,0,0,0,SAVONA,VADO LIGURE
2,2,1997,1,1997-02-02,0.4396,0,0,0,0,0,0,0,0.44,0,GENOVA,GENOVA
2,2,1997,1,1997-02-02,1.07375,0,0.2,0,0,0.52,0.24,0,0.2,0,GENOVA,GENOVA
2,2,1997,1,1997-02-02,0.27185,0,0,0,0,0,0.28,0,0,0,GENOVA,GENOVA
3,2,1997,1,1997-02-03,8.48955,0,0,0,0,0,5.76,2.84,0,0,IMPERIA,PRELA'
3,2,1997,1,1997-02-03,0.11225,0,0,0,0,0,0,0.08,0,0,GENOVA,SANT'OLCESE
6,2,1997,1,1997-02-06,1.4175,0,0,0,0,1.28,0,0,0,0,IMPERIA,SEBORGA
6,2,1997,1,1997-02-06,1.4472,0,0,0,0,0,1,0,0.44,0,IMPERIA,PIETRABRUNA
6,2,1997,1,1997-02-06,129.546,0,0,0,0,0,23.92,0,105.76,0,IMPERIA,PIETRABRUNA
6,2,1997,1,1997-02-06,22.1448,0,0,0,0,0,1.8,17.76,2.52,0,IMPERIA,PRELA'
6,2,1997,1,1997-02-06,1.94366,0,0.28,0,0,0,1.64,0,0,0,IMPERIA,PONTEDASSIO
6,2,1997,1,1997-02-06,3.12385,0,0,0,0,0,3.08,0,0,0,GENOVA,GENOVA
6,2,1997,1,1997-02-06,3.1672,0,0,2.12,0,1.16,0,0,0,0,GENOVA,MELE
6,2,1997,1,1997-02-06,1339.01,3.96,12.36,447.88,0,115.28,23.92,100.88,634.44,0,GENOVA,GENOVA
7,2,1997,1,1997-02-07,16.7297,0,0,0,0,0,13.6,0,3,0,IMPERIA,PONTEDASSIO
7,2,1997,1,1997-02-07,14.8777,0,0,0,0.08,0,14.84,0,0,0,IMPERIA,CHIUSAVECCHIA
7,2,1997,1,1997-02-07,45.6956,0,0,9.88,0,0,35.6,0,0,0,IMPERIA,VASIA
7,2,1997,1,1997-02-07,7.0806,0,0,0,0,0,0.28,0,6.88,0,IMPERIA,BORGOMARO
7,2,1997,1,1997-02-07,4.30525,0,0,0,0,0,0,3.64,0.64,0,LA SPEZIA,VARESE LIGURE
7,2,1997,1,1997-02-07,1.49405,0,0,0,0,0,1.48,0,0,0,GENOVA,GENOVA
7,2,1997,1,1997-02-07,6.4971,0,0,0.92,0,0,0,3.24,2.32,0,GENOVA,BORZONASCA
7,2,1997,1,1997-02-07,15.0744,0,0,7.4,0,2.92,0,0,3.52,1.4,GENOVA,BORZONASCA
7,2,1997,1,1997-02-07,52.9837,0,0,33.44,0,0.44,0,0,17.36,2,GENOVA,BORZONASCA
7,2,1997,1,1997-02-07,4.54055,0,0,0,0,0,3.12,0,1.36,0,GENOVA,MONTOGGIO
8,2,1997,1,1997-02-08,6.8011,0,0,0,0,0,0.48,6.36,0,0,IMPERIA,CARPASIO
8,2,1997,1,1997-02-08,0.87115,0,0,0.56,0,0,0,0,0.28,0,IMPERIA,MOLINI DI TRIORA
8,2,1997,1,1997-02-08,0.1072,0,0,0,0.04,0,0.08,0,0,0,LA SPEZIA,ARCOLA
8,2,1997,1,1997-02-08,0.2043,0,0,0.04,0,0.16,0,0,0,0,LA SPEZIA,SESTA GODANO
